YEAR,Weekday,Holiday,Day of Month,Month Num,Hour,Demand,Load,Min Tem,Max Tem,avr tem,min hum ,max hum,avr hum,rain,snow ,T precipitation,snow level,W D 03,W S 03,W D 09,W S 09,W D 15,W S 15,max W D ,max W S 
1,1,1,1,1,1,148.73,0,15.8,15.8,9.15,31,95,63,2.4,0,2.4,0,230,3,250,6,240,4,230,13
1,1,1,1,1,2,141.02,0,15.8,15.8,9.15,31,95,63,2.4,0,2.4,0,230,3,250,6,240,4,230,13
1,1,1,1,1,3,134.59,0,15.8,15.8,9.15,31,95,63,2.4,0,2.4,0,230,3,250,6,240,4,230,13
1,1,1,1,1,4,114.34,0,15.8,15.8,9.15,31,95,63,2.4,0,2.4,0,230,3,250,6,240,4,230,13
1,1,1,1,1,5,108.24,0,15.8,15.8,9.15,31,95,63,2.4,0,2.4,0,230,3,250,6,240,4,230,13
1,1,1,1,1,6,106.06,0,15.8,15.8,9.15,31,95,63,2.4,0,2.4,0,230,3,250,6,240,4,230,13
1,1,1,1,1,7,96.03,0,15.8,15.8,9.15,31,95,63,2.4,0,2.4,0,230,3,250,6,240,4,230,13
1,1,1,1,1,8,96.74,0,15.8,15.8,9.15,31,95,63,2.4,0,2.4,0,230,3,250,6,240,4,230,13
1,1,1,1,1,9,104.12,1,15.8,15.8,9.15,31,95,63,2.4,0,2.4,0,230,3,250,6,240,4,230,13
1,1,1,1,1,10,108.19,1,15.8,15.8,9.15,31,95,63,2.4,0,2.4,0,230,3,250,6,240,4,230,13
1,1,1,1,1,11,107.73,1,15.8,15.8,9.15,31,95,63,2.4,0,2.4,0,230,3,250,6,240,4,230,13
1,1,1,1,1,12,104.95,1,15.8,15.8,9.15,31,95,63,2.4,0,2.4,0,230,3,250,6,240,4,230,13
1,1,1,1,1,13,104.66,1,15.8,15.8,9.15,31,95,63,2.4,0,2.4,0,230,3,250,6,240,4,230,13
1,1,1,1,1,14,103.91,1,15.8,15.8,9.15,31,95,63,2.4,0,2.4,0,230,3,250,6,240,4,230,13
1,1,1,1,1,15,102.74,1,15.8,15.8,9.15,31,95,63,2.4,0,2.4,0,230,3,250,6,240,4,230,13
1,1,1,1,1,16,101.66,1,15.8,15.8,9.15,31,95,63,2.4,0,2.4,0,230,3,250,6,240,4,230,13
1,1,1,1,1,17,103.48,1,15.8,15.8,9.15,31,95,63,2.4,0,2.4,0,230,3,250,6,240,4,230,13
1,1,1,1,1,18,114.03,1,15.8,15.8,9.15,31,95,63,2.4,0,2.4,0,230,3,250,6,240,4,230,13
1,1,1,1,1,19,150.13,2,15.8,15.8,9.15,31,95,63,2.4,0,2.4,0,230,3,250,6,240,4,230,13
1,1,1,1,1,20,165.18,2,15.8,15.8,9.15,31,95,63,2.4,0,2.4,0,230,3,250,6,240,4,230,13
